ds,forecast_best,Product ID
2022-01-08,199.93176511817796,P0010
2022-01-18,410.91337243080045,P0010
2022-01-29,429.91864771224266,P0010
2022-02-01,200.5792268768202,P0010
2022-02-04,193.94709999741394,P0010
2022-02-09,128.04914424831344,P0010
2022-02-15,111.87648179959473,P0010
2022-02-19,275.75990655505547,P0010
2022-02-20,134.80547481438578,P0010
2022-02-24,173.4669376890085,P0010
2022-02-26,257.6958371774721,P0010
2022-03-04,121.93733693046767,P0010
2022-03-15,46.88968375635574,P0010
2022-03-17,105.85276537015386,P0010
2022-03-18,125.32167163735988,P0010
2022-03-19,216.22152268097165,P0010
2022-03-20,80.01796011559111,P0010
2022-03-23,137.57340361916158,P0010
2022-03-31,164.84986655512552,P0010
2022-04-04,9.962213560461919,P0010
2022-04-15,179.2153807654164,P0010
2022-04-17,126.1607141642927,P0010
2022-04-19,132.14956609876953,P0010
2022-04-20,175.2515382634926,P0010
2022-04-23,289.12916206161304,P0010
2022-04-28,202.28162637814762,P0010
2022-05-05,194.30112976750428,P0010
2022-05-06,203.54041852017428,P0010
2022-05-11,156.9917886184101,P0010
2022-05-12,157.52252612849293,P0010
2022-05-13,163.12053170758747,P0010
2022-05-17,72.87182555420952,P0010
2022-05-27,102.09214508300056,P0010
2022-05-28,191.65488421982144,P0010
2022-06-02,151.35974319270974,P0010
2022-06-03,180.118050341936,P0010
2022-06-17,285.8291756218971,P0010
2022-06-21,165.16285343445588,P0010
2022-06-22,190.710128899594,P0010
2022-06-28,213.53205973794286,P0010
2022-06-29,309.4038437584669,P0010
2022-06-30,392.4873142812132,P0010
2022-07-01,502.8216575229312,P0010
2022-07-02,708.3035977914751,P0010
2022-07-03,712.4342888328944,P0010
2022-07-04,781.640871052881,P0010
2022-07-05,1088.841811278642,P0010
2022-07-06,1360.168661574589,P0010
2022-07-07,1628.209619646812,P0010
2022-07-08,1930.2143660801494,P0010
2022-07-09,2330.84728228993,P0010
2022-07-10,2529.97333621037,P0010
2022-07-11,2790.031760491657,P0010
2022-07-12,3279.666192561187,P0010
2022-07-13,3720.5231022181306,P0010
2022-07-14,4140.582716912572,P0010
2022-07-15,4572.460397910488,P0010
2022-07-16,5076.26372171779,P0010
2022-07-17,5347.48740872348,P0010
2022-07-18,5644.49882506927,P0010
2022-07-19,6132.280124844782,P0010
2022-07-20,6529.336110897834,P0010
2022-07-21,6861.129196506432,P0010
2022-07-22,7158.476582616327,P0010
2022-07-23,7480.4921287880115,P0010
2022-07-24,7522.552420677526,P0010
2022-07-25,7543.837332006225,P0010
2022-07-26,7711.109002868234,P0010
2022-07-27,7745.636517458084,P0010
2022-07-28,7676.6262790382625,P0010
