ds,forecast_best,Product ID
2022-01-03,103.2964783709608,P0014
2022-01-09,187.92865818583988,P0014
2022-01-11,220.63025268795954,P0014
2022-01-20,160.57017962978261,P0014
2022-01-25,87.37347570881552,P0014
2022-02-01,109.84033068566407,P0014
2022-02-03,147.868370916593,P0014
2022-02-08,150.32584632243183,P0014
2022-02-09,352.65007390976393,P0014
2022-02-11,293.02572952229167,P0014
2022-02-12,240.16653935574013,P0014
2022-02-15,76.45538306187545,P0014
2022-02-19,115.33535769271484,P0014
2022-02-23,144.5815741573819,P0014
2022-02-25,87.77681950807064,P0014
2022-03-01,-41.8285956740948,P0014
2022-03-05,166.40500545000123,P0014
2022-03-09,379.4721963642868,P0014
2022-03-13,270.69612209350447,P0014
2022-03-15,329.23610191169416,P0014
2022-03-26,381.43050493050026,P0014
2022-04-03,90.8825072376848,P0014
2022-04-04,66.52014725231761,P0014
2022-04-08,252.17426939062193,P0014
2022-04-11,87.61517882974682,P0014
2022-04-12,134.16997588950528,P0014
2022-04-17,196.1341197691584,P0014
2022-04-21,287.1257387800132,P0014
2022-04-24,265.60317786952055,P0014
2022-04-26,283.5372350316824,P0014
2022-05-05,218.8145399072148,P0014
2022-05-08,146.4384876114339,P0014
2022-05-09,122.62063029412792,P0014
2022-05-10,147.80578391853552,P0014
2022-05-16,96.78297481174044,P0014
2022-05-20,297.6221206588132,P0014
2022-05-31,136.9179359128922,P0014
2022-06-02,142.9150248836996,P0014
2022-06-03,272.08752794070955,P0014
2022-06-17,152.62659029950822,P0014
2022-06-18,110.32342789033902,P0014
2022-06-25,147.39582400035624,P0014
2022-06-27,13.228851988666548,P0014
2022-06-28,52.597235911174465,P0014
2022-06-29,261.7036410891017,P0014
2022-06-30,79.23833548092695,P0014
2022-07-01,215.41794688585207,P0014
2022-07-02,167.26806414993322,P0014
2022-07-03,20.47985546400392,P0014
2022-07-04,-12.28404515303879,P0014
2022-07-05,-4.801572146195227,P0014
2022-07-06,165.79345507438165,P0014
2022-07-07,-62.081361161367596,P0014
2022-07-08,21.618714176675283,P0014
2022-07-09,-86.13414737216277,P0014
2022-07-10,-299.56637483415267,P0014
2022-07-11,-405.78067922280417,P0014
2022-07-12,-478.15316741754805,P0014
2022-07-13,-393.2358780289794,P0014
2022-07-14,-711.8394729312889,P0014
2022-07-15,-722.9509334859254,P0014
2022-07-16,-928.4306725404597,P0014
2022-07-17,-1241.1405427961768,P0014
2022-07-18,-1446.628516787018,P0014
2022-07-19,-1616.5382012137718,P0014
2022-07-20,-1625.5294322674852,P0014
2022-07-21,-2032.3848065361458,P0014
2022-07-22,-2123.9569657636634,P0014
2022-07-23,-2399.900851682987,P0014
2022-07-24,-2770.8420446611085,P0014
2022-07-25,-3020.1064188512737,P0014
2022-07-26,-3217.1785600000117,P0014
2022-07-27,-3234.6743085112344,P0014
2022-07-28,-3629.5012432495882,P0014
