ds,yhat
2022-03-02,179.00002692875074
2022-03-03,254.00004029078104
2022-04-01,134.99990532148445
2022-04-05,258.9999341983649
2022-05-01,20.00006500368997
2022-05-05,546.000095368074
2022-06-01,174.00006747903603
2022-06-04,16.99999902824905
2022-07-05,27.999926108666955
2022-08-02,51.00002035994049
2022-08-03,209.00005579851262
2022-10-02,233.00000018780474
2022-10-04,103.99997900102653
2022-10-06,128.00003320102155
2022-11-01,100.99992907446529
2022-11-04,353.9999080324616
2022-11-05,1542.040903542239
2022-11-06,814.12756886238
2022-11-07,-2517.3824878118376
2022-11-08,1322.0397225893503
2022-11-09,1367.6018079066582
2022-11-10,2086.971573058576
2022-11-11,2014.5199631520009
2022-11-12,3347.5015068887865
2022-11-13,2757.0088697206934
2022-11-14,-449.0119992022695
2022-11-15,3499.489929314687
2022-11-16,3633.316002433201
2022-11-17,4415.940537731037
2022-11-18,4377.89349419306
2022-11-19,5713.074845997363
2022-11-20,5089.832924237692
2022-11-21,1814.0891096180958
2022-11-22,5654.681202903339
2022-11-23,5642.079028485751
2022-11-24,6240.353603826805
2022-11-25,5981.580523305429
2022-11-26,7062.14803795162
2022-11-27,6153.80169123795
2022-11-28,2566.7083092316825
2022-11-29,6074.712904328839
2022-11-30,5713.944070076295
2022-12-01,5954.651960866917
2022-12-02,5335.462930398704
2022-12-03,6059.525306171249
2022-12-04,4805.3826137060405
