ds,yhat
2022-02-06,6.000022978098716
2022-04-04,98.99998519915539
2022-04-05,-3.1360730993412744e-05
2022-04-06,48.99997164959193
2022-05-01,211.9999945637926
2022-05-04,13.999987267053072
2022-06-05,3.0000235637167947
2022-06-06,19.000029757930832
2022-07-03,34.999992543278395
2022-08-02,109.0000006090048
2022-08-05,88.99998667902757
2022-08-06,16.999976140774322
2022-12-01,18.999989076521558
2022-12-02,-970.78808901658
2022-12-03,-1065.1034570252177
2022-12-04,-474.00322033896816
2022-12-05,-409.5336772579718
2022-12-06,-327.05332481507094
2022-12-07,-103.9790502137344
2022-12-08,651.073783684877
2022-12-09,-331.030943104937
2022-12-10,-420.6745843232401
2022-12-11,172.2578514255903
2022-12-12,235.8110889866426
2022-12-13,314.6246233935457
2022-12-14,531.1790421511782
2022-12-15,1276.6533970803607
2022-12-16,281.6056262902064
2022-12-17,175.25614445343209
2022-12-18,747.2427752267795
2022-12-19,785.0725059278515
2022-12-20,832.8094365032625
2022-12-21,1012.3479101131077
2022-12-22,1714.2997736949126
2022-12-23,668.7068099284506
2022-12-24,504.35738444440324
2022-12-25,1010.5743249580735
2022-12-26,974.6983087055536
2022-12-27,940.8049182869581
2022-12-28,1031.0031732346204
2022-12-29,1636.343377240427
2022-12-30,487.5443245272347
2022-12-31,214.31805774474978
